date_received,queue_name,agent_number,answered,consult,transfer,hangup,call_type
2014-03-01 09:01:12,30175,8077.0,2014-03-01 09:01:13,NULL,NULL,2014-03-01 09:04:02,5
2014-03-01 09:02:05,30175,8861.0,2014-03-01 09:02:06,NULL,NULL,2014-03-01 09:04:54,5
2014-03-01 09:03:09,30175,7531.0,2014-03-01 09:03:10,NULL,NULL,2014-03-01 09:08:32,5
2014-03-01 09:03:54,30172,6971.0,2014-03-01 09:03:55,2014-03-01 09:04:38,2014-03-01 09:04:45,2014-03-01 09:06:55,2
2014-03-01 09:07:09,30560,8077.0,2014-03-01 09:07:09,NULL,NULL,2014-03-01 09:13:32,20
2014-03-01 09:10:25,30172,6971.0,2014-03-01 09:10:26,NULL,NULL,2014-03-01 09:14:10,2
2014-03-01 09:11:00,30560,8861.0,2014-03-01 09:11:00,NULL,NULL,2014-03-01 09:27:57,20
2014-03-01 09:11:31,30175,7531.0,2014-03-01 09:11:32,2014-03-01 09:12:06,2014-03-01 09:12:18,2014-03-01 09:13:36,5
2014-03-01 09:16:46,30172,7531.0,2014-03-01 09:16:47,2014-03-01 09:17:13,2014-03-01 09:17:41,2014-03-01 09:19:09,2
2014-03-01 09:21:18,30560,8077.0,2014-03-01 09:21:18,NULL,NULL,2014-03-01 09:28:04,20
2014-03-01 09:21:34,30179,6971.0,2014-03-01 09:21:35,NULL,NULL,2014-03-01 09:21:35,9
2014-03-01 09:21:48,30175,7531.0,2014-03-01 09:21:49,NULL,NULL,2014-03-01 09:24:52,5
2014-03-01 09:22:27,30179,6971.0,2014-03-01 09:22:27,NULL,NULL,2014-03-01 09:24:53,9
2014-03-01 09:28:13,30175,7531.0,2014-03-01 09:28:14,NULL,NULL,2014-03-01 09:35:32,5
2014-03-01 09:30:24,30560,6971.0,2014-03-01 09:30:25,NULL,NULL,2014-03-01 09:33:12,20
2014-03-01 09:33:41,30175,8861.0,2014-03-01 09:33:42,NULL,NULL,2014-03-01 09:34:57,5
2014-03-01 09:34:47,30175,8077.0,2014-03-01 09:34:48,NULL,NULL,2014-03-01 09:37:36,5
2014-03-01 09:37:03,30560,6971.0,2014-03-01 09:37:04,NULL,NULL,2014-03-01 09:37:08,20
2014-03-01 09:37:59,30560,8861.0,2014-03-01 09:38:00,NULL,NULL,2014-03-01 09:42:58,20
2014-03-01 09:38:33,30175,7531.0,2014-03-01 09:38:34,NULL,NULL,2014-03-01 09:43:59,5
2014-03-01 09:39:03,30560,8077.0,2014-03-01 09:39:04,NULL,NULL,2014-03-01 09:47:12,20
2014-03-01 09:42:49,30175,8861.0,2014-03-01 09:46:09,2014-03-01 09:46:59,2014-03-01 09:47:26,2014-03-01 09:57:21,5
2014-03-01 09:45:23,30172,8077.0,2014-03-01 09:47:17,2014-03-01 09:47:40,2014-03-01 09:47:55,2014-03-01 09:49:26,2
2014-03-01 09:45:38,30560,8861.0,2014-03-01 09:47:28,NULL,NULL,2014-03-01 09:52:52,20
2014-03-01 09:45:55,30175,8077.0,2014-03-01 09:48:01,NULL,NULL,2014-03-01 09:52:37,5
2014-03-01 09:50:25,30175,7531.0,2014-03-01 09:50:26,2014-03-01 09:54:08,2014-03-01 09:54:42,2014-03-01 09:54:43,5
2014-03-01 09:55:48,30175,6971.0,2014-03-01 09:55:49,2014-03-01 09:57:36,2014-03-01 09:57:48,2014-03-01 09:59:48,5
2014-03-01 10:01:47,30560,8077.0,2014-03-01 10:01:48,NULL,NULL,2014-03-01 10:07:00,20
2014-03-01 10:05:36,30560,7531.0,2014-03-01 10:05:37,NULL,NULL,2014-03-01 10:09:39,20
2014-03-01 10:09:05,30175,6971.0,2014-03-01 10:09:06,NULL,NULL,2014-03-01 10:09:09,5
2014-03-01 10:11:14,30175,7819.0,2014-03-01 10:11:15,NULL,NULL,2014-03-01 10:13:09,5
2014-03-01 10:12:45,30175,6971.0,2014-03-01 10:12:46,NULL,NULL,2014-03-01 10:14:01,5
2014-03-01 10:13:01,30175,7531.0,2014-03-01 10:13:02,NULL,NULL,2014-03-01 10:14:50,5
2014-03-01 10:20:26,30175,8077.0,2014-03-01 10:20:27,NULL,NULL,2014-03-01 10:23:50,5
2014-03-01 10:21:05,30175,7819.0,2014-03-01 10:21:06,NULL,NULL,2014-03-01 10:26:10,5
2014-03-01 10:23:07,30172,6971.0,2014-03-01 10:23:08,2014-03-01 10:24:04,2014-03-01 10:24:20,2014-03-01 10:27:53,2
2014-03-01 10:24:10,30175,7531.0,2014-03-01 10:24:11,NULL,NULL,2014-03-01 10:28:17,5
2014-03-01 10:30:36,30560,8077.0,2014-03-01 10:30:37,NULL,NULL,2014-03-01 10:38:50,20
2014-03-01 10:37:59,30175,6971.0,2014-03-01 10:38:00,NULL,NULL,2014-03-01 10:39:44,5
2014-03-01 10:38:13,30175,7819.0,2014-03-01 10:38:14,2014-03-01 10:40:50,2014-03-01 10:41:42,2014-03-01 10:43:37,5
2014-03-01 10:38:45,30175,7531.0,2014-03-01 10:38:46,NULL,NULL,2014-03-01 10:42:28,5
2014-03-01 10:40:37,30175,8077.0,2014-03-01 10:40:38,NULL,NULL,2014-03-01 10:50:00,5
2014-03-01 10:41:14,30560,6971.0,2014-03-01 10:41:14,NULL,NULL,2014-03-01 10:43:22,20
